SYMBOL,PN,TYPE,DATE,VOL
NG,N/A,QMLE-Trade,14/02/2023,0.725036
NG,N/A,QMLE-Trade,15/02/2023,0.736846
NG,N/A,QMLE-Trade,16/02/2023,0.808824
NG,N/A,QMLE-Trade,17/02/2023,0.854607
NG,N/A,QMLE-Trade,21/02/2023,0.783112
NG,N/A,QMLE-Trade,22/02/2023,0.879336
NG,N/A,QMLE-Trade,23/02/2023,1.03105
NG,N/A,QMLE-Trade,24/02/2023,0.85677
NG,N/A,QMLE-Trade,27/02/2023,0.795988
NG,N/A,QMLE-Trade,28/02/2023,0.755264
NG,N/A,QMLE-Trade,01/03/2023,0.812476
NG,N/A,QMLE-Trade,02/03/2023,0.664856
NG,N/A,QMLE-Trade,03/03/2023,0.66471
NG,N/A,QMLE-Trade,06/03/2023,0.825323
NG,N/A,QMLE-Trade,07/03/2023,0.771453
NG,N/A,QMLE-Trade,08/03/2023,0.684297
NG,N/A,QMLE-Trade,09/03/2023,0.723454
NG,N/A,QMLE-Trade,10/03/2023,0.756254
NG,N/A,QMLE-Trade,13/03/2023,0.834756
NG,N/A,QMLE-Trade,14/03/2023,0.721001
NG,N/A,QMLE-Trade,15/03/2023,0.683253
NG,N/A,QMLE-Trade,16/03/2023,0.816005
NG,N/A,QMLE-Trade,17/03/2023,0.665469
NG,N/A,QMLE-Trade,20/03/2023,0.738608
NG,N/A,QMLE-Trade,21/03/2023,0.836411
NG,N/A,QMLE-Trade,22/03/2023,0.89665
NG,N/A,QMLE-Trade,23/03/2023,0.663532
NG,N/A,QMLE-Trade,24/03/2023,0.684735
NG,N/A,QMLE-Trade,27/03/2023,0.563992
NG,N/A,QMLE-Trade,28/03/2023,0.643599
NG,N/A,QMLE-Trade,29/03/2023,0.680194
NG,N/A,QMLE-Trade,30/03/2023,0.661346
NG,N/A,QMLE-Trade,31/03/2023,0.792975
NG,N/A,QMLE-Trade,03/04/2023,0.939346
NG,N/A,QMLE-Trade,04/04/2023,0.700355
NG,N/A,QMLE-Trade,05/04/2023,0.638946
NG,N/A,QMLE-Trade,06/04/2023,0.702029
NG,N/A,QMLE-Trade,10/04/2023,0.752766
NG,N/A,QMLE-Trade,11/04/2023,0.716633
NG,N/A,QMLE-Trade,12/04/2023,0.665938
NG,N/A,QMLE-Trade,13/04/2023,0.637145
NG,N/A,QMLE-Trade,14/04/2023,0.739499
NG,N/A,QMLE-Trade,17/04/2023,0.735256
NG,N/A,QMLE-Trade,18/04/2023,0.671884
NG,N/A,QMLE-Trade,19/04/2023,0.632225
NG,N/A,QMLE-Trade,20/04/2023,0.738039
NG,N/A,QMLE-Trade,21/04/2023,0.561367
NG,N/A,QMLE-Trade,24/04/2023,0.608974
NG,N/A,QMLE-Trade,25/04/2023,0.533683
